source_id,primary_rq,secondary_rqs,lane_1_decision,lane_1_reason,lane_2_decision,lane_2_reason,adjudication,adjudication_reason,human_confirmation,full_text_eligibility
FRV2-E-010,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: MBI reduced-sample claims are not justified; use transparent intervals or a fully specified Bayesian model while separately justifying important effects.,INCLUDE,Statistical review supports rejecting magnitude-based inference shortcuts; not an effect-size rule by itself,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-011,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: MBI can inflate type-I error at small samples; a likely-worthwhile label cannot substitute for a valid uncertainty model.,INCLUDE,Simulation critique supports false-positive safeguards; abstract supplies no replacement model or sample rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-E-013,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Period length and washout are intervention-specific; training carryover may be the intended adaptation and cannot be replaced by a universal period rule.,INCLUDE,Government N-of-1 guide supports intervention-specific periods carryover and washout; clinical transfer is methodological only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-014,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Requires phase outcome fidelity analysis and deviation reporting; checklist completion is not causal validity or a safety gate.,INCLUDE,SCRIBE supports transparent phase outcome fidelity and deviation reporting; checklist is not validity,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-015,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: WWC phase-point rules are design-specific evidence-review standards and must not become a universal athlete baseline n or freshness threshold.,INCLUDE,Design standard supplies indirect SCED quality cautions; education-specific point rules cannot transfer to athletes,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-016,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Challenges rigid baseline-stability waiting under specified simulations but does not permit ignoring trend or using a universal short baseline.,INCLUDE,Simulation challenges rigid baseline-stability waiting; it does not permit ignoring trend or short universal baselines,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-017,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Ordinary independent t-tests can misstate repeated-series inference; serial structure must be specified and very few observations remain unsafe for inference.,INCLUDE,Method study supports modeling serial correlation; examples do not establish a universal observation count,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-018,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: SCED quality cannot be reduced to point count; measurement replication trend and analysis are separate gates and analytic disagreement remains.,INCLUDE,Systematic methods review supports multidimensional SCED appraisal; published practice is not efficacy evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-019,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Randomize start or order where feasible and analyze the actual assignment scheme; randomization does not fix poor measurement carryover or missingness.,INCLUDE,Randomized SCED tutorial supports assignment-aware analysis; healthcare transfer remains methodological,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-021,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: No single definitive fatigue marker exists; mixed markers require individualized contextual interpretation and cannot diagnose or clear training.,INCLUDE,Athlete-monitoring review supports marker-specific contextual interpretation; no fatigue diagnosis or clearance,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-022,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Subjective and objective measures often disagree; preserve streams and provenance rather than fusing them into a causal readiness or safety score.,INCLUDE,Systematic review supports preserving subjective and objective streams; disagreement cannot become a readiness score,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-E-023,RQ-E,,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: Reviews AB reversal multiple-baseline and alternating-treatment designs for elite conditioning; serial dependency and applied design constraints remain.,INCLUDE,Sport-specific SCED review supports design options and serial-dependency cautions; abstract-only and no Formation efficacy,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-F-001,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Burden completion clarity and feedback are measurable; no automated-plan validation. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; feasibility_only=true; efficacy_safety_causality=false,INCLUDE,Direct adolescent athletics co-creation evidence supports burden clarity feedback and completion outcomes only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-002,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Separate adherence missingness withdrawal and technical failure; no physiological or safety inference,INCLUDE,Adolescent wearable cohort informs adherence missingness withdrawal and technical failure; injured mixed-sport sample is indirect,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-003,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Technical friction and feedback specificity matter; non-athlete indirectness retained,INCLUDE,Adolescent usability study informs friction and feedback specificity; non-athlete context limits transfer,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-004,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Measure burden comprehension usefulness and completion separately; acceptability is not efficacy,INCLUDE,Youth systematic review supports separate feasibility acceptability and effectiveness outcomes; no plan validation,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-005,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Ease did not equal sustained completion; log component dropout and notification burden,INCLUDE,Adolescent implementation study supports dropout and notification-burden measurement; no prescription efficacy,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-006,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Adult indirect evidence for clear definitions routine fit feedback and data control,INCLUDE,Adult competitive runner qualitative evidence informs definitions routine fit feedback and data control only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-007,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Online system complements rather than replaces coach communication; no prevention claim,INCLUDE,Athlete surveillance pilot supports complementing coach communication; mixed sports and adult age limit transfer,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-008,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Test acceptability implementation practicality and integration; exclude limited efficacy,INCLUDE,General feasibility framework supports acceptability implementation practicality and integration; excludes efficacy inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-009,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Pilot rehearses intended process; progression is not product efficacy safety or identity,INCLUDE,Delphi methods source distinguishes pilot process from effectiveness and safety; no sport-specific authority,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-010,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Display reasons missingness uncertainty and human authority; exposure is not comprehension,INCLUDE,Healthcare explainability analysis supports reasons missingness uncertainty and human authority; exposure is not comprehension,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-011,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Version system and log workflow roles errors and deviations; coach remains authoritative,INCLUDE,DECIDE-AI supports versioned prospective workflow and error logging; healthcare guidance cannot validate sport prescription,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-012,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Borrow parallel logging but reject concealment; label participant-visible parallel comparison,INCLUDE,Silent-trial review supports parallel evaluation mechanics only; concealment is rejected for this participant-visible pilot,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-013,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Local ethics and law control; ongoing assent and withdrawal; no recruitment authority,INCLUDE,International ethics guidance supports assent permission and withdrawal boundaries; local law and review still control,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-014,RQ-F,,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: UK-specific; test comprehension and respect withdrawal; local review required,INCLUDE,UK child-research guidance supports comprehension and withdrawal safeguards; jurisdictional transfer is explicit,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-015,RQ-E,RQ-F,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: RQ-F is not SCED; carryover makes ABAB unsuitable for cumulative training effects,INCLUDE,SCED guide supports carryover and irreversibility cautions; rehabilitation methods do not make the pilot a SCED,INCLUDE,AI disagreement or RQ mismatch deferred to human-trained adjudication,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-F-016,RQ-E,RQ-F,INCLUDE,Eligible evidence for RQ-F; use remains limited to the ledger directness and stated claim boundary: Borrow completion stop process-event and fidelity fields; no causal claim,EXCLUDE,Duplicate publication of the SCRIBE statement with no unique data beyond FRV2-E-014,DEFER,AI disagreement or RQ mismatch deferred to human-trained adjudication,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-002,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Pain and overuse concern require clinician review; no product diagnosis or treatment,INCLUDE,Direct youth clinical report supports pain overuse and burnout referral boundaries; no diagnosis or treatment automation,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-006,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Sex-specific evidence retained; no sex-based product score or restriction,INCLUDE,Adolescent female-athlete consensus informs sex-specific health boundary; no product score or restriction,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-007,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Clinical thresholds and return-to-play categories are not product automation inputs,INCLUDE,Clinical Triad guideline supports human-only screening diagnosis and return-to-play boundary; thresholds are not automation inputs,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-008,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Male sex is not protective; multidisciplinary medical assessment required,INCLUDE,Male Athlete Triad consensus supports sex-inclusive referral boundary; abstract-only and clinician-facing,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-009,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: General sleep-duration guidance is not athlete readiness or injury clearance,INCLUDE,Pediatric sleep consensus supplies general context only; duration guidance is not athlete readiness,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-010,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Youth directness low; illness and return-to-sport assessment remain clinician functions,INCLUDE,Athlete respiratory consensus supports clinician-led illness and return assessment; abstract-only and youth directness low,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-011,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Under-12 athletes outside scope; product cannot substitute for team physician,INCLUDE,Adolescent team-physician consensus supports human authority for injury illness and return; abstract-only,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-012,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Concern content routes outside planner to named trained safeguarding human,INCLUDE,IOC safeguarding consensus supports routing concern content to trained humans; not planner inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-013,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Organizational standard with jurisdiction-specific implementation and reporting duties,INCLUDE,Child-sport organizational safeguards support governance boundaries; jurisdiction-specific duties remain unresolved locally,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-014,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Heterogeneous methods; female athletes and sport diversity underrepresented,INCLUDE,Youth growth-maturation injury review supports contextual handoff only; heterogeneous and underrepresentative evidence blocks risk scoring,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-015,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Small single-academy association study; IRRs are not individual risk scores,INCLUDE,Prospective adolescent athletics cohort supports growth context; abstract-only association cannot become individual risk score,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-016,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Low event counts; sex BMI and menarche findings must not become automated thresholds,INCLUDE,Large adolescent-runner cohort is directly relevant to stress-fracture context; low events defeat automated thresholds,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-017,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Training sleep and specialization evidence low certainty; no automated risk prediction,INCLUDE,Runner injury systematic review supports low-certainty boundary language; abstract cannot justify prediction,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-018,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Heterogeneous incidence and recurrence ranges are not individual probabilities,INCLUDE,Adolescent bone-stress review supports symptom referral context; narrative synthesis cannot supply individual probabilities,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-019,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Case-report dominant; symptoms require human assessment and imaging is not inferred,INCLUDE,Youth systematic review supports periphyseal-stress concern boundary; case-report dominance and abstract-only state limit inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-020,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Chronic association observed; acute evidence conflicting and not a readiness rule,INCLUDE,Youth sleep-injury review supports chronic association context only; no acute readiness or causal rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
FRV2-G-021,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Diagnosis and treatment remain clinical; product collects only explicit pain or limitation,INCLUDE,Clinical review supports human assessment of growing-bone pain; diagnosis and imaging stay outside product scope,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
FRV2-G-022,RQ-G,,INCLUDE,Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: Opposing conceptual evidence; supports referral rather than automated model allegiance,INCLUDE,Editorial opposition is retained as conceptual counterevidence; it cannot establish an alternate clinical model,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-DOI-10.1136-BMJ.H1793,RQ-E,RQ-F,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK`: supports preregistered periods/order/change/attrition reporting; carryover and irreversibility remain design constraints.,INCLUDE,CENT elaboration supports N-of-1 reporting mechanics; clinical guidance cannot validate cumulative training crossover,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-10907753,RQ-E,RQ-D,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports typical error/within-subject reliability and cautions against treating correlation as agreement. | Typical-error framework; study-level reliability sample guidance is not a universal within-athlete baseline count.,DEFER,Correction metadata conflict must be reconciled before relying on the otherwise relevant reliability framework,DEFER,AI disagreement or RQ mismatch deferred to human-trained adjudication,PENDING_HUMAN,EXCLUDED_IDENTITY_OR_CORRECTION
SRC-PMID-12741870,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: estimated VO2max maintained but 3000 m slowed more in cross-training group; small off-season sample.,INCLUDE,Small female collegiate off-season trial informs cycling substitution limits; abstract cannot establish modality equivalence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-17149987,RQ-C,,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: economy improved only at 18 km/h; no VO2max change; not microcycle evidence.,INCLUDE,Adult runner plyometric trial supports component outcomes only; abstract and missing maturity block scheduling transfer,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-20386477,RQ-B,RQ-C,INCLUDE,"Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: jump performance fell up to 72 h while strength did not; outcome-specific, unfamiliar-protocol transfer only. | Indirect; intense plyometric bout; post 24 h 48 h 72 h 96 h 120 h; participant details limited in abstract.",INCLUDE,Acute plyometric study supports outcome-specific 24-120 h kinetics; abstract population detail is limited,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-23134196,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: small n=15 study favored BP on some indices; not 9.5-day running evidence.,INCLUDE,Small adult cyclist block trial informs periodization countercontext only; not nonweekly running-frame evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-23838975,RQ-C,,INCLUDE,"Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: 2.4 km, sprint and jump outcomes improved; supports component inclusion, not Formation timing. | Six weeks of added plyometrics improved 2.4 km sprint and jump outcomes; shared-day placement was not verified.",INCLUDE,Competitive-runner trial supports added plyometric component outcomes; abstract does not verify shared-day placement,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-25976398,RQ-E,RQ-F,INCLUDE,Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `GUIDANCE_OK_WITH_CORRECTION`: useful reporting structure; not proof that ABAB/crossover is valid for cumulative training adaptations. | Official PubMed record links an erratum; reporting completeness does not establish design sufficiency safety or sport transfer.,INCLUDE,CENT statement is eligible with linked erratum applied; reporting completeness does not establish design validity,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,EXCLUDED_IDENTITY_OR_CORRECTION
SRC-PMID-26084524,RQ-G,RQ-C;RQ-F,INCLUDE,"Eligible evidence for RQ-G; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports nonlinear development, health and sustainable participation boundaries; no Formation efficacy. | Broad healthy inclusive sustainable participation and safeguarding boundary",INCLUDE,IOC youth consensus supports growth health and sustainable-participation boundaries; no Formation efficacy,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-27300278,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: load-matched increasing/decreasing/mixed order showed no between-group adaptation difference.,INCLUDE,Adult cycling trial supplies counterevidence against universal intensity-order effects; not cycle-length evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-28054257,RQ-E,RQ-D,INCLUDE,"Eligible evidence for RQ-E; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: reliability, validity, responsiveness and feasibility are separate; not a readiness threshold. | Taxonomy covers validity reliability responsiveness interpretability and feasibility; consensus does not validate a specific metric or set a universal n.",INCLUDE,Measurement-property Delphi separates reliability validity responsiveness and feasibility; no metric validation or universal n,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-28463642,RQ-D,RQ-E,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: internal/external load separation and multifactorial monitoring are supported; no readiness/safety authority. | Expert framework supports separate internal and external load taxonomy; no youth middle-distance validation or universal total. | Supports valid reliable consistent and contextual longitudinal monitoring; associations do not establish injury causation safety or a universal history.,INCLUDE,Consensus supports separate internal and external load taxonomy; abstract cannot confer readiness or safety authority,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-29163016,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports named sRPE protocol/limitations; it does not make arbitrary load methods interchangeable or a fatigue score. | Review identified 36 modified-CR10 validation and reliability studies; heterogeneity limits direct youth runner transfer.,INCLUDE,sRPE review supports named protocol and limitations; heterogeneity blocks fatigue-score or interchangeability claims,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-29712629,RQ-D,RQ-E,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: device error/validity must precede change interpretation; device-specific transfer required.,INCLUDE,Wearable assessment guidance supports device-specific validity before change interpretation; no athlete-state inference,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-30131714,RQ-C,RQ-F;RQ-G,INCLUDE,Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: concurrent training was not universally harmful; heterogeneity blocks exact Formation sequencing. | Small athletic-performance effect but null cardiorespiratory and economy effects; sequence and separation were not meta-analyzed.,INCLUDE,Youth concurrent-training review supports conditional component compatibility; heterogeneity blocks exact sequencing,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-30160557,RQ-D,RQ-F,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: timing materially changed values; protocol/timestamp must remain visible. | Direct timing evidence: 30-minute sRPE was 26.5% lower than immediate sRPE; timing is part of method identity.,INCLUDE,Direct adolescent-runner study supports timestamp as method identity; abstract-only and not a readiness validator,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-31024338,RQ-A,,INCLUDE,"Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: successful 7-11-day HIT blocks are descriptive n=1 history, not causal or youth-running evidence.",INCLUDE,Elite adult skiing n-of-1 history supports descriptive block use only; not causal or youth-running evidence,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-31802956,RQ-A,,INCLUDE,Eligible evidence for RQ-A; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: small favorable VO2max/Wmax effects with low-quality small studies; no 9/9.5/10-day superiority. | Twenty eligible records and six pooled studies; small low-quality heterogeneous evidence; no 7-day versus nonweekly comparison. owner_target=9_5_DAY_AUTOMATED_PRESCRIPTION; runtime_authority=false,INCLUDE,Endurance block review supplies low-certainty comparative context; no nonweekly-frame or 9.5-day superiority,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-31820260,RQ-B,RQ-D,INCLUDE,Eligible evidence for RQ-B; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: external load alone poorly predicts all residual-fatigue outcomes; indirect to running and not a universal 72 h rule. | Indirect review; 11 studies n=165; external load associations mainly at acute and 24 h not 48-72 h.,INCLUDE,Soccer review supports weak external-load prediction of residual outcomes; indirect and no 72-h rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-32407361,RQ-C,,INCLUDE,"Eligible evidence for RQ-C; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: order affected some power indices, not strength/lean mass/aerobic fitness; no universal ordering rule. | Cycling HIIT and resistance were separated about 3 h; broad adaptation was similar but explosive outcomes varied by order.",INCLUDE,Adult same-day trial supports outcome-specific order effects with 3-h separation; no universal or youth rule,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
SRC-PMID-32502973,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: supports prohibition on causal injury-prevention/readiness use of ACWR. | Identifies ratio artifacts ambiguity and causal overinterpretation; supports descriptive method labeling and prohibits risk or action zones.,INCLUDE,ACWR methods critique supports prohibiting causal injury and readiness use; abstract-only and nonprescriptive,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ABSTRACT_LIMITED
SRC-PMID-32991706,RQ-D,,INCLUDE,Eligible evidence for RQ-D; use remains limited to the ledger directness and stated claim boundary: `CORRECT`: inconsistent load relationships and weak measurement-property evidence prohibit a single fatigue score.,INCLUDE,Team-sport wellbeing review supports weak and inconsistent single-item evidence; no unified fatigue score,INCLUDE,AI lanes agree; human-trained confirmation remains required,PENDING_HUMAN,ELIGIBLE_FULL_TEXT
