source_id,rq_id,field,lane_1_value,lane_2_value,resolution,human_confirmation
FRV2-D-007,RQ-D,instrument_protocol,Historical narrative review; prompt scale anchors session duration source timing and formula version required,Original timing about 30 minutes post-bout; wider timing literature exists; scale/prompt/timing/duration must persist,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,RQ-D,time_horizon,25-year historical perspective,25_YEAR_HISTORICAL_REVIEW,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,RQ-D,time_points,About 30 minutes post-bout originally; wider intervals in later literature,ABOUT_30_MIN_OR_STUDY_SPECIFIC,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,RQ-D,missingness,NOT_REPORTED,VARIED_OR_NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,RQ-D,effect_estimate,Defines sRPE as intensity or average RPE of an entire session and reports temporal robustness in wider literature,Defines sRPE as an entire-session internal-response construct and not precise external-load detail,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,RQ-D,uncertainty,NOT_REPORTED,Narrative developer-authored review; timing robustness does not erase direct timing differences,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,RQ-D,individual_response,NOT_REPORTED,VARIED_OR_NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-007,RQ-D,limitations,Narrative and developer-authored; timing summary does not erase direct timing differences; no validated component allocation; parent and leaves must never both count the same global sRPE; no external-detail fatigue or readiness inference,No validation of component allocation; a whole-session sRPE cannot be fractionally assigned to composite-session leaves,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,competitive_level,Recreational long-distance runners,RECREATIONAL_LONG_DISTANCE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,intervention,Individualized TRIMPi based on each runner's heart-rate and lactate profile,Individualized TRIMP using each runner's heart-rate/lactate profile,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,comparator,Average group-weighted training impulse method,Average group-weighted TRIMP methods,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,component_dose,Internal response: heart rate and blood lactate profile; external duration retained; derived TRIMPi in method-specific arbitrary units; 5 km and 10 km performance retained in original units,Eight weeks of recorded training; individual treadmill testing supplied thresholds,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,component_order,Whole-session or recorded-bout TRIMPi; no cross-method component split,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,separation_hours,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,outcome_domain,INDIVIDUALIZED_METHOD_ASSOCIATION,METHOD_SPECIFIC_VALIDITY_AND_RESPONSIVENESS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,outcome_measure,Weekly TRIMPi; speed at 2 and 4 mmol/L; 5 km and 10 km performance,Relationships of weekly TRIMPi with physiological and performance change,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,instrument_protocol,Individual treadmill HR-lactate testing plus versioned individual weighting; threshold profile and formula lineage required,TRIMPi method ID version individual test date thresholds and input lineage required,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,time_horizon,8 weeks,EIGHT_WEEKS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,time_points,Weekly load and pre-post performance or physiological outcomes,WEEKLY_LOAD_AND_PRE_POST_OUTCOMES,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,missingness,NOT_REPORTED,NOT_REPORTED; absent individual thresholds make TRIMPi not_computed,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,effect_estimate,Weekly TRIMPi related to speed change at 2 mmol/L r=.87 and 4 mmol/L r=.74 and to 5 km and 10 km performance; group-average methods showed no significant relationships,Weekly TRIMPi related to speed at 2 mmol/L r=.87 and 4 mmol/L r=.74 and to 5 km/10 km performance; group-average methods were not significant,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,uncertainty,NOT_REPORTED,Very small sample; associations do not establish method agreement or transfer,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,individual_response,Eight runners; individual estimates not reported in abstract,Individual profiles were explicit inputs; response heterogeneity otherwise not reported,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-008,RQ-D,limitations,Very small adult recreational sample; association is not method agreement youth validation or causality; TRIMPi cannot be relabeled generic TRIMP or converted to other arbitrary-unit methods; no fatigue readiness inference,Adult recreational sample; individual testing required; cannot relabel as generic TRIMP or convert to other arbitrary-unit methods,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,competitive_level,Experienced runners,EXPERIENCED_RUNNERS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,intervention,Parallel sRPE heart-rate TRIMP and IMU plus peak-ground-reaction-force cumulative biomechanical load,Whole-session RPE HR-based TRIMP and IMU/peak-ground-reaction-force cumulative biomechanical load,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,comparator,Comparison across endurance submaximal and interval outdoor sessions,Cross-method and cross-session-type comparison,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,component_dose,Internal response: whole-session RPE points; physiological derived load: named HR-TRIMP arbitrary units; biomechanical derived load: IMU and peak-GRF method-specific units; external session facts retained separately,Endurance submaximal and interval outdoor sessions,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,component_order,Parent session holds global sRPE; modality and ordered session components retained; measures remain adjacent and non-additive,WHOLE_SESSION_SRPE_ON_PARENT; COMPONENT_MEASURES_REMAIN_SEPARATE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,separation_hours,NOT_REPORTED,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,outcome_domain,CROSS_METHOD_AGREEMENT_AND_SESSION_DISCRIMINATION,METHOD_AGREEMENT_AND_SESSION_TYPE_DISCRIMINATION,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,outcome_measure,sRPE; TRIMP; cumulative biomechanical load; session-type differences; correlations,sRPE TRIMP biomechanical cumulative load and pairwise correlations,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,instrument_protocol,Outdoor sessions with named devices sensors force derivation HR formula RPE protocol timestamps and method versions required,Persist perceptual physiological and biomechanical method IDs units device/protocol and input lineage,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,time_horizon,Three session types,THREE_SESSION_TYPES,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,time_points,Endurance submaximal and interval sessions,POST_SESSION_AND_DEVICE_STREAM; exact points not verified,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,missingness,NOT_REPORTED,NOT_REPORTED; missing device or subjective inputs must remain typed,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,effect_estimate,sRPE distinguished session types while TRIMP and biomechanical load did not; correlations r=.49 sRPE/TRIMP r=.25 sRPE/biomechanical and r=.35 biomechanical/TRIMP,sRPE distinguished session types while other measures did not; correlations r=.49 sRPE/TRIMP r=.25 sRPE/biomechanical r=.35 biomechanical/TRIMP,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,uncertainty,NOT_REPORTED,Small adult sample; criterion adequacy uncertain; only three session types,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-009,RQ-D,limitations,Small adult sample; criterion adequacy uncertain; no youth or maturity evidence; three session types; no validated parent-to-leaf allocation for composite work; weak-to-moderate correlations prohibit summing these arbitrary units or collapsing them to fatigue readiness or one currency,No youth/maturity evidence; arbitrary units are construct-specific and must not be summed into one currency,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,competitive_level,Professional rowers,PROFESSIONAL,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,intervention,Session-RPE across explosive power endurance strength ergometer and functional training,Whole-session RPE across explosive-power endurance-strength ergometer and functional sessions,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,comparator,Banister TRIMP or total weight lifted depending on modality,Banister TRIMP for applicable modalities or total weight lifted by modality,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,component_dose,Internal response: session RPE points; external strength dose: total weight lifted in mass units; physiological derived load: Banister TRIMP arbitrary units; duration retained; each method remains distinct,194 effective sessions over 12 months; named session examples include 6 km x 3 ergometer work,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,component_order,Whole-session sRPE with modality-specific comparator; composite strength/endurance leaves remain ordered and are not assigned an ergometer conversion,GLOBAL_SRPE_ON_PARENT; DO_NOT_INHERIT_ERGOMETER_CONVERSION_FOR_COMPOSITE_OR_STRENGTH_COMPONENTS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,outcome_measure,sRPE test-retest; ICC; sRPE-TRIMP correlation; sRPE-total-weight relationship by modality,Test-retest reliability and sRPE comparator correlations by modality,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,instrument_protocol,Longitudinal modality-specific protocol; named RPE scale timing duration formula HR method and lifted-mass units required,Persist modality scale timing duration comparator and formula; comparator identity changes by modality,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,time_horizon,12 months; 194 effective sessions,TWELVE_MONTHS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,time_points,Typical sessions across four broad modalities,SESSION_LEVEL; exact collection timing not verified,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,missingness,NOT_REPORTED,Effective sessions reported; missingness otherwise not reported,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,effect_estimate,Ergometer test-retest r about .758 and ICC .755; sRPE-TRIMP r=.811 in 6 km x 3 ergometer work and r=.258 in functional training,Ergometer test-retest correlation/ICC about .758/.755; sRPE-TRIMP r=.811 in 6 km x 3 ergometer versus .258 (95% CI -.111 to .565) in functional training,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,uncertainty,Functional-training correlation 95% CI -.111 to .565,Rowing indirectness; abstract description of session categories is not fully consistent,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,individual_response,NOT_REPORTED,Modality-specific variation is material; individual distributions not reported,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-010,RQ-D,limitations,Rowing rather than running; criterion changed by modality; abstract lists five typical sessions within four broad modalities; no youth directness; composite sessions cannot inherit ergometer conversion or collapse to fatigue readiness,No youth or running directness; criterion changes by modality; no universal conversion or composite-session reduction,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,population,Adults spanning Fitzpatrick skin tones 1-6; sample size not reported in abstract,Adults spanning Fitzpatrick skin tones 1-6; exact n not in abstract,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,competitive_level,Mixed physical activity,MIXED_ACTIVITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,intervention,Optical heart-rate measurement from six consumer and research wearables,Six consumer or research optical heart-rate wearables during rest and activity,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,comparator,Electrocardiography across rest and activities,Electrocardiography criterion and between-device/activity comparison,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,component_dose,Internal response proxy: heart rate in beats per minute; contextual provenance: device model activity condition skin-tone category firmware or algorithm version and missingness; no substitution for other outcomes,REST_AND_MULTIPLE_ACTIVITIES,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,outcome_domain,DEVICE_VALIDITY_AND_MISSINGNESS,DEVICE_VALIDITY_RELIABILITY_AND_MISSINGNESS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,outcome_measure,Heart-rate error by device activity and skin tone; device missing values,Optical heart-rate error by device activity and skin tone; device missing values,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,instrument_protocol,Six wearables compared with ECG across rest and activities; device model activity context timestamps algorithm version and missingness required,Device model algorithm/firmware when available activity context ECG protocol timestamps and missingness reason required,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,time_horizon,Acute validation sessions,ACUTE_DEVICE_VALIDATION,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,time_points,Rest and activity conditions,REST_AND_ACTIVITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,missingness,Full text explicitly analyzed device missing values; exact rates not extracted,Full-text figures analyze device missing values; exact rates not extracted,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,effect_estimate,No significant accuracy difference by skin tone; significant device and activity differences; mean absolute error during activity about 30% higher than rest,No significant accuracy difference by skin tone; significant device/activity differences; mean absolute error during activity about 30% higher than rest,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,uncertainty,NOT_REPORTED,Exact n absent from abstract; device algorithms age quickly; no runner-specific estimate,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,individual_response,Participant-level heterogeneity not extracted,Participant-factor analyses present but individual response not extracted,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-011,RQ-D,limitations,Not runner- or youth-specific; devices and algorithms age quickly; PPG HR does not transfer to distance elevation energy expenditure fatigue or readiness; model or algorithm changes create continuity boundaries,Not youth-runner specific; optical HR findings do not transfer to distance elevation or energy; algorithm changes break continuity,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,population,60 adults; 29 men and 31 women,60 adults,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,competitive_level,Diverse fitness levels,DIVERSE_FITNESS_LEVELS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,intervention,Seven wrist-worn devices measuring heart rate and vendor energy expenditure,Seven wrist-worn devices during sitting walking running and cycling,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,component_dose,Internal response proxy: heart rate in beats per minute; derived vendor energy expenditure in energy units; external activity condition; device model participant and protocol provenance retained separately,STANDARDIZED_REST_AND_ACTIVITY_BOUTS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,outcome_measure,Heart-rate error and energy-expenditure error by device activity and participant factors,Heart-rate and energy-expenditure error by device activity and participant factors,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,instrument_protocol,Seven watches during sitting walking running and cycling; telemetry and indirect-calorimetry criteria; model activity algorithm and outcome provenance required,Persist device/model algorithm activity outcome and criterion protocol separately,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,time_horizon,Acute laboratory validation,ACUTE_LAB_VALIDATION,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,time_points,Sitting walking running and cycling conditions,DURING_EACH_ACTIVITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,effect_estimate,Six devices had median HR error below 5% during cycling; no device had energy expenditure error below 20%; error varied by activity device and participant factors,Six devices had median HR error below 5% during cycling; no device had energy-expenditure error below 20%; errors varied by activity/device/person,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,uncertainty,Median error summaries; exact confidence intervals not reported in abstract extraction,Adult laboratory study using now-old models; cycling result cannot be assumed for running,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,individual_response,NOT_REPORTED,Participant factors affected error; no individual series extracted,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-012,RQ-D,limitations,Adult laboratory sample with older models; cycling HR cannot be assumed for running; vendor energy is algorithm-derived; HR and energy outcomes are non-equivalent and cannot be merged into fatigue readiness or one load total,Vendor energy HR distance and pace are different outcomes and cannot substitute for one another,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,competitive_level,Instrument validation,INSTRUMENT_VALIDATION,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,intervention,Positioning-enabled watch distance measurement,Positioning-enabled watches measuring distance across urban forest and track routes,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,comparator,Reference route distance 404.0 to 4296.9 metres,Reference route distances 404.0-4296.9 m,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,component_dose,External work: distance in metres or kilometres; contextual provenance: watch model environment activity firmware or algorithm and route protocol; error retained as percent,3 x 12 measurements across activities and environments,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,outcome_domain,INSTRUMENT_VALIDITY,DISTANCE_VALIDITY_AND_PROTOCOL_CONTINUITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,outcome_measure,Distance error MAPE and underestimation by model environment and activity,Distance mean absolute percentage error and underestimation,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,instrument_protocol,Eight Apple Coros Garmin Polar and Suunto watches; 3 x 12 measurements in urban forest and track settings during walking running and cycling; reference route and device version required,Persist device model firmware/algorithm when known environment activity route protocol and unit,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,time_horizon,3 x 12 measurements,REPEATED_ACUTE_ROUTE_TESTS,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,time_points,Urban forest and track conditions across three activities,PER_ROUTE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,effect_estimate,MAPE ranged 3.2% to 6.1%; distance could be underestimated up to 9%; urban forest and running were generally less accurate,MAPE 3.2%-6.1%; underestimation up to 9%; urban/forest and running generally less accurate than open/other conditions,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,uncertainty,NOT_REPORTED,Small repeated routes; model firmware and environment specific,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-013,RQ-D,limitations,Instrument rather than athlete-population validation; small repeated routes; model firmware environment and activity specific; post-algorithm series cannot be silently merged; distance error carries no fatigue or readiness meaning,Instrument rather than athlete validation; algorithm/model changes form a visible continuity boundary,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,competitive_level,Mixed adult activity levels,MIXED_ADULT_ACTIVITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,season,Literature through 2018,SEARCHES_THROUGH_2018,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,intervention,Garmin activity-tracker outputs across models,Systematic review of multiple Garmin models and measured outcomes,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,comparator,Study-specific validity criteria and repeated reliability where available,Study-specific criteria and reliability comparisons,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,component_dose,External outputs: steps distance speed elevation in original units; internal proxy: heart rate in beats per minute; derived energy expenditure in energy units; model outcome protocol and version provenance retained,32 validation studies; four assessed reliability,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,outcome_domain,VALIDITY_AND_RELIABILITY_BY_DEVICE_OUTCOME,OUTCOME_AND_MODEL_SPECIFIC_VALIDITY_RELIABILITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,outcome_measure,Steps distance energy expenditure heart rate speed elevation validity; reliability,Steps distance energy expenditure heart rate speed and elevation,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,instrument_protocol,Systematic review of 32 studies and multiple models; only four reliability studies; registry must use model outcome protocol and version rather than brand-only identity,Registry key must include model outcome protocol and version; brand alone is insufficient,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,time_horizon,Literature through 2018,SYSTEMATIC_REVIEW_THROUGH_2018,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,time_points,Study-specific validation time points,VARIED_BY_INCLUDED_STUDY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,missingness,NOT_REPORTED,VARIED_OR_NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,effect_estimate,Steps generally performed best; distance poor in three studies; energy expenditure widely variable; HR low-to-excellent; speed and elevation evidence sparse,Steps generally performed best; distance poor in three studies; energy expenditure variable; HR low-to-excellent; speed/elevation evidence sparse,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,uncertainty,Heterogeneous study-specific estimates not pooled here,Heterogeneous older devices; only four reliability studies; author thresholds are not universal cutoffs,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,individual_response,NOT_REPORTED,VARIED_OR_NOT_REPORTED,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-014,RQ-D,limitations,Heterogeneous older devices and adult samples; few reliability studies; review thresholds are not universal cutoffs; brand-level validity is invalid; no cross-outcome summation fatigue or readiness inference,Adult samples; no brand-level validity conclusion; do not merge outcome series across model or algorithm changes,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,population,93 high-school basketball players; 45 female and 48 male,93 high-school basketball players,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,competitive_level,High-school athletes,HIGH_SCHOOL_ATHLETES,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,season,One season,ONE_SEASON,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,intervention,Ten single or machine-learning imputation methods plus multiple imputation of actual missingness,Ten single or machine-learning imputation methods and multiple imputation,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,comparator,Observed jumps per hour and RPE values masked then reconstructed; simple and context-aware methods compared,Observed values masked for reconstruction; method performance compared,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,component_dose,External work: jumps per hour with count and duration units; internal response: RPE points; imputed values are separate versioned derivatives with model predictors and uncertainty; canonical observations unchanged,Jumps per hour and RPE over one season,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,component_order,Session and athlete context used by some methods; no parent-to-leaf allocation,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,outcome_domain,MISSING_DATA_METHOD_PERFORMANCE,MISSINGNESS_BEHAVIOR_AND_IMPUTATION,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,outcome_measure,Imputation error or performance under simulated and actual missingness,Reconstruction performance under simulated masking and actual missingness,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,instrument_protocol,One-season longitudinal monitoring; masking mechanism imputation method version predictors training data timestamps and uncertainty required,Canonical observations remain distinct; derivative stores imputation method version predictors uncertainty and source lineage,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,time_horizon,One season,ONE_SEASON,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,time_points,Repeated player-session observations,SESSION_OR_SEASON_LEVEL,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,missingness,Observed values were masked for simulation and actual missingness was multiply imputed; amount and mechanism determine method choice,Observed values deliberately masked; actual missingness also analyzed; amount and mechanism determine method choice,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,effect_estimate,Team-session mean was outperformed only by methods combining session and individual context in some analyses,Methods combining session and individual context outperformed team-session mean in some analyses,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,uncertainty,Method-specific uncertainty not extracted from abstract,Basketball jump-count context; simulated missingness may differ from real mechanisms; no universal imputation method,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,individual_response,Individual context used by better-performing methods; individual errors not extracted,Individual context improved some reconstructions but does not make imputed values observed,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-015,RQ-D,limitations,Basketball and jump counts rather than running; simulated missingness may differ from real mechanisms; analytic imputation cannot overwrite or masquerade as observation; missing is not zero and imputation cannot create fatigue readiness or clearance,Youth but not running; imputed derivative must be excluded from canonical observed totals and never silently replace missing,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,population,Illustrative American-football wearable data; exact cohort not verified,Illustrative American-football wearable data; cohort not verified from abstract,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,competitive_level,Athlete monitoring example,ATHLETE_MONITORING_EXAMPLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,intervention,Methodological analysis of missing wearable workload data and potential imputation,Methodological examination of wearable missing-data mechanisms and possible analysis methods,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,comparator,Missing-completely-at-random assumption versus informative equipment-failure and noncompliance mechanisms,Missing-completely-at-random assumption versus informative equipment failure or noncompliance,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,component_dose,External or device-derived workload remains in reported units; contextual provenance: eligible observed and missing counts reason device protocol; any imputation remains separate versioned derivative,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,outcome_domain,MISSINGNESS_BIAS_AND_REPORTING,MISSINGNESS_BEHAVIOR_AND_INTERPRETABILITY,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,outcome_measure,Coverage eligible count observed count missing reason and potential dashboard bias,Bias in dashboard averages and accumulated summaries,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,instrument_protocol,Didactic wearable example; missingness mechanism denominator eligibility imputation method and uncertainty must be explicit,Persist eligible count observed count coverage missing reason device/protocol and any derivative method,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,time_horizon,Longitudinal monitoring example; exact duration not verified,DIDACTIC_EXAMPLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,time_points,Repeated monitoring observations,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,missingness,Equipment failure and noncompliance can create informative missingness; exact missing rates not verified,Equipment failure and noncompliance can be informative; simple summaries may be biased,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,effect_estimate,Even simple dashboard averages can be biased when missingness assumptions fail,No single effect estimate extracted,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,uncertainty,NOT_APPLICABLE,Didactic example; exact cohort and mechanism frequencies not verified,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-016,RQ-D,limitations,Didactic example not youth runners; recommendations concern analysis not canonical truth; never zero-fill or silently drop missing records; no imputed readiness fatigue or prescription state,Not youth runners; analysis guidance does not change canonical truth; missing must not be zero-filled or silently removed from denominators,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-017,RQ-D,season,NOT_APPLICABLE,W3C_RECOMMENDATION_2013,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-017,RQ-D,intervention,W3C PROV-O ontology for interoperable provenance,PROV-O interoperable provenance ontology,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-017,RQ-D,comparator,Heterogeneous systems and their source entities activities and agents,Heterogeneous source systems and revision chains,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-017,RQ-D,component_dose,Contextual provenance: entity activity agent generation usage derivation attribution revision and time; every internal external or derived measure retains quantity unit method and lineage,NOT_APPLICABLE,NOT_VERIFIED,PENDING_HUMAN
FRV2-D-017,RQ-D,component_order,Parent session and ordered leaf entities linked by explicit derivation and membership; revisions create new entities rather than double counting or overwrite,PARENT_AND_LEAF_ENTITIES_RETAIN_DISTINCT_LINEAGE; DERIVATIONS_REFERENCE_INPUT_ENTITIES,NOT_VERIFIED,PENDING_HUMAN
